ID,Paragraph,LatentClasses,LatentClassNames
1,"Defunding the police is important to me because I have lived in poor communities where I have seen the violence perpetrated by police officers on a daily basis. I have also been in communities where the police were not called and issues were able to be resolved without their involvement and due to not involving the police, less violently. I am also a communist and believe the police exist to protect capital, so less of them benefits my political goals.",3,sages
2,"I am pro choice. A person with a uterus’ body is their own, not the governments. No one should have a say with what I do with my body. Abortion is healthcare and is necessary for emergencies and also just for people who accidentally get pregnant and don’t want to keep it.",3,sages
4,"Standardized testing is important. It helps provide more data on how well students are learning certain subjects and how well they can apply what they learn to relevant problems or questions. There are many different types of standardized tests and they all have different categories. No one is going to be perfect in every subject, but these tests can help determine a student's eligibility for college admission, as well as see what areas they may fall short in. Standardized tests should not be eradicated.",3,sages
5,"I chose the legalization of abortion. I fully believe it should be legal across the board. It is important for the safety of people with uteruses. People deserve full rights and autonomy to their bodies. There are tons of children in foster care that are not being adopted, there is no reason to add more to that. There are health concerns involved with pregnancy. At the end of the day a person deserves a choice",3,sages
6,"I personally believe that people should be vaccinated. So many people died before they were made that wouldn't have if that technology was available. It's a minor inconvenience to keep yourself, your family, and everyone around you safe.",3,sages
8,"Drugs should be legalized.  Drug prohibition has lead to increasing profits for drugs cartels.  Take that money away from the cartels, and law enforcement. and put it towards drug rehab and mental health counseling.",3,sages
13,Affirmative action should continue because there is still a lack of minority groups in positions of power. Affirmative action ensures that doors are opened for all groups to be successful.,3,sages
15,"Abortion:
Abortion should not be entirely illegal. When the life of the mother is at stake, she has priority over the unborn child. This includes things like ectopic pregnancies, which no one considers a viable pregnancy. However, the number of abortions being done has become alarming. We have proof that research organizations are illegally paying to request certain organs for research and are illegally cooperating with groups like Planned Parenthood to supply these organs from abortions. 

Rather than promoting pregnancy prevention among women, we have opted to provide cheap and convenient access to abortions. Abortion is the one medical procedure that is not required to be reported and does not have to follow basic medical standards such as access for emergency personnel and equipment. Women have died because of this refusal to be accountable for a medical procedure. Also, because pro-abortion groups don't want to admit that abortion can have severe emotional impact on a woman, many refuse to offer post-abortion counseling. 

I am fully in support of free birth control for any woman who requests it. That would help cut down on the need for abortions and the mental, physical, and emotional effects that can follow an abortion.",3,sages
17,"For the time being, I believe affirmative action should stay to at least some extent. There are too many minorities afflicted with generational poverty and a distinct lack of opportunity. The poor and disregarded should be lifted up and encouraged. There are inequities in our society that will have to be addressed through action. Affirmative action is one of these. As our society becomes more fair, we can begin to phase it out.",3,sages
18,"I think affirmative action should not be dissolved because America is not yet in a place where institutions that currently are impacted by affirmative action can guarantee equality. Affirmative action was created as an artificial mechanism to guarantee equality and increased diversity in certain institutions because we as a society are not yet in a position to do so ourselves. This equality and increased diversity must be protected because, as evidenced by backlash against movements like Black Lives Matter and the prominence of racism in the United States, we cannot guarantee this equality and diversity alone.",3,sages
19,I believe the police should be defunded to give other groups and organizations more public funding. Police do not need tanks and military grade weapons to do their jobs and we should focus more on community programs that prevent crime all together rather than funding an organization that reacts to crime after it has already happened.,3,sages
20,"I support defending the police because police are trained to be far too violent. People, especially people of color, who are in distress are often shot or battered by police instead of being helped. Having social workers respond to domestic violence calls or suicidal people would be more effective, and could potentially save taxpayers money. People think that police won't be able to respond when they are needed, but that is incorrect. First of all, basically nobody is calling for police to be completely defended. We just want them to spend less money on literal tanks and more money on helping people. Also, we all saw what happened at the school in Texas. Police, even when funded, often are too cowardly to do anything.",3,sages
24,"I want to write about the standardized tests. I think they should be abolished in favor of something different. It seems to me like the testing companies have states/schools/etc by the cahonies. Myself and my kids were all terrible test takers, yet we all have done fine in life. Just because someone is a good test taker doesnt mean anything, and just because someone is a bad test taker, that doesn't mean anything either.",3,sages
