ID,Paragraph,LatentClasses,LatentClassNames
9,"For mandatory vaccines, I hold this position because I think it's important to keep yourself and others healthy. While I believe in self-determination, I also believe that lots of people don't take the time to become educated on topics. However, mandatory vaccines can infringe on religious beliefs, which is complicated. I personally think mandatory vaccines should be implicated because one's decision whether or not to get a vaccine affects other people's health as well.",2,zealots
11,"Personally, I am in agreement with standardized testing to be removed from school. In my experience, I took the SAT and I didn’t even decide to go to a university, I just went to community college. In my case, I didn’t even need to spend the money to take the SAT just to go to another four years of schooling. So, I don’t oppose the idea of removing standardized testing.",2,zealots
16,I oppose defunding the police because I feel it will negativity affect socitity. Defunding the police would increase criminal and violence activity. Cops should be held accountable if they do something wrong but the whole department should not be affected.,2,zealots
21,"I think most drugs should be decriminalized. I think it would help prevent unnecessary crime related to the underground trafficking of drugs. It would also give people more freedom to do what they want in their downtime. I don't think it would lead to more people abusing hard drugs, as those people find a way if they want to",2,zealots
27,"Mandatory vaccines.
It makes sense to mandate vaccines. They work. They prevent illness. They help our society grow.",2,zealots
31,"I don't feel affirmative action is effective. The policy of affirmative action is intended to improve the fairness of hiring practices by enforcing diversity. However, enforcing diversity inversely decreases hiring fairness, as folks are not hired for their worth to the company, rather, a statistic to meet diversity requirements. Additionally, it further promotes anger and bigotry, as certain people are treated differently from others.",2,zealots
59,Abortion. Women should be able to make decisions about their body.,2,zealots
64,"I think the police should be defunded because they're given way too much money. I don't have the evidence right in front of me, but I have seen studies that show allocating police funds into other programs like social welfare, public schools, etc. actually do more to improve crime rates than giving more money to the police.",2,zealots
78,Abortion is murder. Killing babies is always wrong. Even if they think it may endanger the mother to have the baby. Only God knows for sure what will happen to the mother. He will spare both her's and the baby's life. He is a wonderful God!,2,zealots
83,"I think affirmative action is an outdated relic from an oppressive time that did not give chances fairly. Now, practically anyone can claim this status, which makes it practically useless at best, and insulting at worst. Also, it is diverse on the surface only, as there is no guarantee that diversity of skin tone equates to diversity of thought",2,zealots
87,"Abortion is a complicated subject because there are situations where it is understandable to have an abortion. I was molested when I was younger and if I had gotten pregnant, I would not want to raise his child. It would be incest as well as having to be reminded of that experience every day. However, I can't get past the fact that you are killing a human being. If a murderer kills a pregnant woman, they are charged for double murder. So how come abortion isn't the same thing? I am completely conflicted over this issue.",2,zealots
94,"I believe that abortions should be legal because they are beneficial to women's health needs. Medical abortions are often needed due to issues with the pregnancy. If the baby cannot be safely carried to term, the mother's shouldn't be afraid to medically terminate their pregnancy. There are also cases of rape victims that don't wish to continue carrying the child of their attacker. Ultimately, the decision should fall to the pregnant women whose lives will be altered by the pregnancy. Making abortions illegal doesn't stop them from occurring. It just limits the safe options.",2,zealots
103,"I believe that abortion should be legal, because it is up to a women if she wants one or not. No you can tell her want to do with her body. Just like Republicans argument on vaccine, my body my choice.",2,zealots
104,"I believe abortion is health care and is a woman’s right. Making abortion illegal not only just stops access to safe abortions, but infringes on reproductive care. If we don’t force men to abide by certain body laws, we shouldn’t expect the same of women.",2,zealots
105,"All drugs should be legalized and regulated. All of them. From heroin to MDMA, there is no drug more deadly than alcohol, no drug more addictive than sugar, and no drug more prevalent than caffeine, and all are legal. But all other substances are demonized and called ""dangerous."" They are illegal not for scientific reasons, but for political ones. Regan started his drug war to demonize black people and yet the CIA brought cocaine into the inner cities and started making crack, making one of the most expensive drugs cheap and easily available. Which was a way to incarcerate black and low income people. It's all a scam. It's all a lie. MDMA can CURE PTSD with proper therapy. Ketamine has saved my life multiple times, it is an AMAZING antidepressant. I'm not even going to talk about weed, since it's so safe, it's not worth discussing. Mushrooms and LSD are also powerful medicines. And if someone wants to take heroin, after learning about it, they should be able to do so legally, with clean needles, and with the right dose. No one should be able to decide what drug I can and cannot do. Old white rich uneducated white men who make the laws know nothing of neurosciences or pharmacology, yet they decide LSD is schedule I, along with heroin with ""no medical usage."" Bullshit.",2,zealots
111,I think vaccines should be mandatory because of the health effects and immunity they bring to the people and the community around them. The side effects for the people that get them are so small compared to the amount of people that receive the benefits.,2,zealots
116,I think standard tests are trying to do something good but there are a lot of barriers to them fulfilling their promise. First off not all students do well on tests. Students learn differently and some do well at taking tests and others do not. Students that have more money are able to get access to classes and tutors to help them do better whereas poorer students might not have the resources.,2,zealots
117,I think abortion should be legal because people should have the right and free will to do what they please with there specimens. Some people cannot afford to have babies but were just engaging in something very casual that can spin out of hand. this can set many people back and change the trajectory of their lives.,2,zealots
119,I am against vaccine mandates because my niece stopped breathing after her 4 month shots and my kids sibling started having seizures after her 12 month shots. I don't think everyone should get shots as you never know how ones body would react to the toxic ingredients. It should be up to each person and how they feel about vaccines,2,zealots
120,Illegal drugs making it illegal. I am totally against this because I believe so many precious lives will be able to get these drugs so much easier.,2,zealots
136,"Abortion should be legal in all 50 states. I firmly believe a woman should have the right to choose whether or not she carryout a pregnancy. It makes no difference if the pregnancy is a result of rape, or a married couple conceiving. It should not be a decision for policy makers, religious leaders, or anyone who aims to force an unwanted pregnancy on a woman.",2,zealots
