ID,Paragraph,LatentClasses,LatentClassNames
3,"I strongly support abortion as a basic human right. Giving birth is not without risks, both physical and psychological. There are long-term consequences to carrying a baby to term and giving birth. No one should be forced to give birth, because that potential life is not automatically of greater value than the woman who becomes pregnant. When fetal cells cannot sustain life outside of the womb, I see no harm in removing them.",1,apaths
7,I believe Affirmative Action is wrong and should be removed all together.  It provides an unfair academic setting by allowing those that are defined as 'minorities' access based on their skin color and not their academic success.  More people of color are given more chances at things based on their skin color than those who have worked hard to create an opportunity for themselves.  Affirmative Action is not fair and is biased towards Caucasian men and women.,1,apaths
10,"i think that standardized testing should be removed. it puts an unnecessarily high amount of pressure on kids, and forces them to compare one another to each other. standardized tests are simply not an efficient way to measure intelligence (especially considering they're timer). children are not numbers; their strengths cannot be reduced to such. i got what i would call a low score on my SAT and yet i graduated valedictorian and have been consistently on the dean's list. not to mention, people can guess on standardized tests. they're just not a good way to measure the success of somebody. you cannot rely on a three-hour exam to know the brain of an individual.",1,apaths
12,"Legalizing drugs. 

I don't think that legalization of drugs is a good thing. There are too many people that die from drugs. Too many people want to numb their feelings and don't want to deal with everyday problems",1,apaths
14,Abortion should be legal because it is apart of women’s rights to have access to healthcare. It takes two people to make a baby and a woman should have the right to choose if she wants to carry a baby or not because it is her body. Society views women as a means to an end to keep producing babies instead of human beings.,1,apaths
22,"I choose abortion, because it is a very personal to me. Uterus havers should have a right to their bodies and what happens to them.",1,apaths
23,I think drugs should be legal but treated like alcohol. I think we spend too much money in this fight. I also think drugs like psychedelics could really benefit a certain population.,1,apaths
25,I believe some drugs should be legalized. There are too many people in jail due to drug related charges that should not be there.,1,apaths
30,"I believe abortion should be illegal, other than during a medical emergency. There is free access to all types of birth control and if people choose to not use them, why should they get to end a life because of it? The life of a child is just as important as the life of the mother. Mothers also need access to resources that will help them keep and raise the child.",1,apaths
39,I don't think police should be defunded. This will result in more crime and lawlessness. It is common sense.,1,apaths
42,"I am against mandatory vaccines because I think everyone should have body autonomy.  Although vaccines can help many, they can also be rushed and companies are not held responsible for side effects.  Also many say you can just get a medical exemption if needed (which those with complex medical conditions may need) but any medical doctor who is found to be issuing these are investigated and quickly labeled a quack. The trust the science crowd while having best intentions fails to realize that science is more fluid then fixed and people should have the right to make decisions that could effect their body for a lifetime.",1,apaths
45,"i believe abortion should be legal, as i feel there are already so many unwanted children in foster care systems waiting to be adopted. so if abortion becames illegal, i feel that number would increase, which could also affect the crime rates globally. not everyone is ready to have a child, and in some cases, women have been raped, or had a failed contraceptive measure fail. every women deserves the right in the say with their body. if abortions become illegal, i feel vasectamies should become more mandated.",1,apaths
50,"Vaccine mandates should be implemented. They should be implemented because there are a lot of diseases and illnesses that can be prevented by being vaccinated. Not only that, but if enough people are vaccinated some diseases can be completely eradicated. If everyone isn't vaccinated than the vaccines protective effects are less valuable and diseases can flourish. It's important that everyone is vaccinated.",1,apaths
53,Standardized tests should not be removed from academic institutions. Standardized tests serve as a benchmark for students. Standardized tests also give institutions insight on students' academic ability.,1,apaths
57,"I am 100000000% pro choice because first and for most, it’s NOT my body so it isn’t my place to say what someone does with theirs! The world is already too overpopulated and going down the drain, so why do we need to make it worse by adding more children. Let’s help the children that are born into terrible situations first. There are so many unfit parents who will now be forced to carry a child to term. That will set up the child for a life of potentially poverty and abuse. I could go on for days.",1,apaths
63,"I think illegal drugs should be legalized, with exceptions. There should be a certain amount of drugs that should be accepted. This would save space in jail for those criminals who commit even bigger crimes.",1,apaths
72,"I believe the police should be defunded due to the systemic racism that is impacting not only our country, but the people that are supposed to be keeping communities safe. I think this was highlighted during the George Floyd protest. The police have gotten away with Situations like that, but this instance was finally filmed and brought public. I believe there are many other resources that could be more beneficial than the police.",1,apaths
73,"I think abortion shouldn't be illegal because it makes it more difficult for necessary abortions to happen as quickly as they need to be. Doctors can also manipulate the situation and refuse a medically necessary abortion. Abortion should only be used as a medical procedure when the mothers life is in danger or the child isnt developing correctly. It shouldnt be so widely accessible. It should be accessible as easily as possible when it's medically necessary though, and making it illegal will muddy the waters.",1,apaths
77,I think abortion should be legal.  I feel that a woman's body is their own and that a human should make their own choices regarding whether or not to give birth.  I think that a lot of issues in society are caused by people who were had by parents who were not prepared.,1,apaths
80,I pick the issue about abortion because it applies to me as a woman. I feel like it should be up to each woman to choose what decisions she makes with her body. If someone doesn't want an abortion then they can choose not to get one instead of forcing their religious views on others.,1,apaths
82,I believe the police should be defunded because the police don’t actually help the general population at all and only serve as a standing army to intimidate the people. I believe we should invest in stopping crime systemically and stopping it before it starts since the police don’t do that.,1,apaths
86,"I believe that everyone should get vaccinated. Not everyone is able to get vaccines due to health issues so this keeps them the most safe. If the majority of people are vaccinated this also creates herd immunity and certain diseases will become more easily eradicated. Some people do not want to get vaccinated due to religious or personal beliefs. As shown recently, those actions are what drags on things like COVID.",1,apaths
